donation_amount,donation_dummy,control,treatment,match_ratio,ratio1,ratio2,ratio3,red_state_dummy,months_since_last_donation,highest_previous_donation,prior_donations_num
0,0,1,0,0,0,0,0,0,27,35,29
0,0,1,0,0,0,0,0,0,3,45,24
0,0,0,1,2,0,1,0,0,2,65,41
0,0,0,1,3,0,0,1,0,0,125,47
0,0,0,1,2,0,1,0,0,0,200,44
0,0,0,1,3,0,0,1,0,23,250,20
0,0,0,1,3,0,0,1,0,29,45,28
0,0,0,1,1,1,0,0,0,27,35,8
0,0,0,1,3,0,0,1,0,28,50,11
0,0,0,1,3,0,0,1,0,8,50,22
0,0,0,1,2,0,1,0,0,8,250,23
0,0,0,1,2,0,1,0,0,3,125,49
0,0,1,0,0,0,0,0,0,5,250,24
25,1,0,1,2,0,1,0,0,22,35,13
0,0,0,1,3,0,0,1,0,42,25,99
0,0,0,1,3,0,0,1,0,42,90,20
0,0,1,0,0,0,0,0,1,2,35,7
0,0,0,1,2,0,1,0,0,2,25,49
0,0,0,1,1,1,0,0,0,14,50,25
0,0,0,1,3,0,0,1,0,6,300,33
0,0,0,1,3,0,0,1,0,13,175,10
0,0,0,1,3,0,0,1,0,27,115,6
0,0,0,1,1,1,0,0,1,0,200,37
0,0,0,1,3,0,0,1,0,8,35,4
0,0,0,1,3,0,0,1,0,14,630,30
0,0,0,1,2,0,1,0,0,30,617.64001,16
0,0,0,1,3,0,0,1,1,23,100,39
0,0,1,0,0,0,0,0,0,28,250,17
0,0,0,1,1,1,0,0,0,21,100,27
0,0,0,1,1,1,0,0,1,4,50,21
0,0,0,1,3,0,0,1,1,9,125,54
0,0,1,0,0,0,0,0,0,6,50,21
0,0,0,1,1,1,0,0,0,7,100,17
0,0,0,1,1,1,0,0,0,6,75,26
0,0,0,1,3,0,0,1,1,8,100,17
0,0,0,1,2,0,1,0,0,9,70,30
0,0,0,1,1,1,0,0,1,21,300,14
0,0,0,1,1,1,0,0,0,28,70,28
0,0,1,0,0,0,0,0,0,31,65,18
0,0,0,1,1,1,0,0,1,17,1000,28
0,0,0,1,1,1,0,0,0,6,125,22
0,0,1,0,0,0,0,0,0,19,70,16
0,0,0,1,2,0,1,0,1,31,55,36
0,0,0,1,3,0,0,1,0,7,50,20
0,0,1,0,0,0,0,0,0,7,50,16
